agency_id,agency_name,agency_lang,agency_timezone,agency_url,agency_phone,agency_email,agency_fare_url
Gbaka d'Abobo,Gbaka d'Abobo,,Africa/Abidjan,https://data-transport.org,,,
Gbaka d'Adjamé,Gbaka d'Adjamé,,Africa/Abidjan,https://data-transport.org,,,
Gbaka d'Attécoubé,Gbaka d'Attécoubé,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Bingerville,Gbaka de Bingerville,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Cocody,Gbaka de Cocody,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Grand-Bassam,Gbaka de Grand-Bassam,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Koumassi,Gbaka de Koumassi,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Port-Bouët,Gbaka de Port-Bouët,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Treichville,Gbaka de Treichville,,Africa/Abidjan,https://data-transport.org,,,
Gbaka de Yopougon,Gbaka de Yopougon,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro Banalisé,Woro-woro Banalisé,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro d'Abobo,Woro-woro d'Abobo,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro d'Adjamé,Woro-woro d'Adjamé,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro d'Anyama,Woro-woro d'Anyama,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro d'Attecoube,Woro-woro d'Attécoubé,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro d'Attecoubé,Woro-woro d'Attécoubé,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro d'Attécoubé,Woro-woro d'Attécoubé,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Bassam,Woro-woro de Bassam,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Bingerville,Woro-woro de Bingerville,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Cocody,Woro-woro de Cocody,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Koumassi,Woro-woro de Koumassi,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Marcory,Woro-woro de Marcory,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Port-Bouët,Woro-woro de Port-Bouët,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Treichville,Woro-woro de Treichville,,Africa/Abidjan,https://data-transport.org,,,
Woro-woro de Yopougon,Woro-woro de Yopougon,,Africa/Abidjan,https://data-transport.org,,,
