trip_id,start_time,end_time,headway_secs,exact_times
0,05:00:00,22:00:00,900,0
1,05:00:00,22:00:00,900,0
10,05:00:00,22:00:00,600,0
100,05:00:00,22:00:00,420,0
101,05:00:00,22:00:00,420,0
102,05:00:00,22:00:00,1200,0
103,05:00:00,22:00:00,1200,0
104,05:00:00,07:00:00,7200,0
104,07:00:00,09:00:00,2400,0
104,09:00:00,17:00:00,840,0
104,17:00:00,20:00:00,10800,0
105,05:00:00,07:00:00,7200,0
105,07:00:00,09:00:00,2400,0
105,09:00:00,17:00:00,840,0
105,17:00:00,20:00:00,10800,0
106,05:00:00,07:00:00,1440,0
106,07:00:00,09:00:00,1800,0
106,09:00:00,17:00:00,1800,0
106,17:00:00,20:00:00,720,0
107,05:00:00,07:00:00,1440,0
107,07:00:00,09:00:00,1800,0
107,09:00:00,17:00:00,1800,0
107,17:00:00,20:00:00,720,0
108,05:00:00,22:00:00,1200,0
109,05:00:00,22:00:00,1200,0
11,05:00:00,22:00:00,600,0
110,05:00:00,22:00:00,3600,0
111,05:00:00,22:00:00,3600,0
112,05:00:00,22:00:00,2400,0
113,05:00:00,22:00:00,2400,0
114,05:00:00,22:00:00,1800,0
115,05:00:00,22:00:00,1800,0
116,05:00:00,22:00:00,2400,0
117,05:00:00,22:00:00,2400,0
118,05:00:00,22:00:00,1200,0
119,05:00:00,22:00:00,1200,0
12,05:00:00,07:00:00,3600,0
12,07:00:00,09:00:00,600,0
12,09:00:00,17:00:00,1800,0
12,17:00:00,20:00:00,600,0
120,05:00:00,22:00:00,2400,0
121,05:00:00,22:00:00,2400,0
122,05:00:00,22:00:00,3600,0
123,05:00:00,22:00:00,3600,0
124,05:00:00,22:00:00,3600,0
125,05:00:00,22:00:00,3600,0
126,05:00:00,22:00:00,2400,0
127,05:00:00,22:00:00,2400,0
128,05:00:00,22:00:00,300,0
129,05:00:00,22:00:00,300,0
13,05:00:00,07:00:00,3600,0
13,07:00:00,09:00:00,600,0
13,09:00:00,17:00:00,1800,0
13,17:00:00,20:00:00,600,0
130,05:00:00,22:00:00,300,0
131,05:00:00,22:00:00,300,0
132,05:00:00,22:00:00,300,0
133,05:00:00,22:00:00,300,0
134,05:00:00,22:00:00,900,0
135,05:00:00,22:00:00,900,0
136,05:00:00,22:00:00,900,0
137,05:00:00,22:00:00,900,0
138,05:00:00,22:00:00,900,0
139,05:00:00,22:00:00,900,0
14,05:00:00,22:00:00,1800,0
140,05:00:00,22:00:00,300,0
141,05:00:00,22:00:00,300,0
142,05:00:00,22:00:00,420,0
143,05:00:00,22:00:00,420,0
144,05:00:00,22:00:00,600,0
145,05:00:00,22:00:00,600,0
146,05:00:00,22:00:00,300,0
147,05:00:00,22:00:00,300,0
148,05:00:00,22:00:00,300,0
149,05:00:00,22:00:00,300,0
15,05:00:00,22:00:00,1800,0
150,05:00:00,22:00:00,3600,0
151,05:00:00,22:00:00,3600,0
152,05:00:00,22:00:00,3600,0
153,05:00:00,22:00:00,3600,0
154,05:00:00,22:00:00,900,0
155,05:00:00,22:00:00,900,0
156,05:00:00,22:00:00,300,0
157,05:00:00,22:00:00,300,0
158,05:00:00,22:00:00,300,0
159,05:00:00,22:00:00,300,0
16,05:00:00,22:00:00,300,0
160,05:00:00,22:00:00,300,0
161,05:00:00,22:00:00,300,0
162,05:00:00,22:00:00,300,0
163,05:00:00,22:00:00,300,0
164,05:00:00,22:00:00,300,0
165,05:00:00,22:00:00,300,0
166,05:00:00,22:00:00,600,0
167,05:00:00,22:00:00,600,0
168,05:00:00,22:00:00,300,0
169,05:00:00,22:00:00,300,0
17,05:00:00,22:00:00,300,0
170,05:00:00,22:00:00,300,0
171,05:00:00,22:00:00,300,0
172,05:00:00,22:00:00,300,0
173,05:00:00,22:00:00,300,0
174,05:00:00,22:00:00,300,0
175,05:00:00,22:00:00,300,0
176,05:00:00,22:00:00,3600,0
177,05:00:00,22:00:00,3600,0
178,05:00:00,22:00:00,3600,0
179,05:00:00,22:00:00,3600,0
18,09:00:00,17:00:00,720,0
18,17:00:00,20:00:00,300,0
18,20:00:00,22:00:00,1200,0
180,05:00:00,22:00:00,300,0
181,05:00:00,22:00:00,300,0
182,05:00:00,22:00:00,300,0
183,05:00:00,22:00:00,300,0
184,05:00:00,22:00:00,300,0
185,05:00:00,22:00:00,300,0
186,05:00:00,22:00:00,300,0
187,05:00:00,22:00:00,300,0
188,05:00:00,22:00:00,300,0
189,05:00:00,22:00:00,300,0
19,09:00:00,17:00:00,720,0
19,17:00:00,20:00:00,300,0
19,20:00:00,22:00:00,1200,0
190,05:00:00,22:00:00,300,0
191,05:00:00,22:00:00,300,0
192,05:00:00,22:00:00,300,0
193,05:00:00,22:00:00,300,0
194,05:00:00,22:00:00,300,0
195,05:00:00,22:00:00,300,0
196,05:00:00,22:00:00,300,0
197,05:00:00,22:00:00,300,0
198,05:00:00,22:00:00,3600,0
199,05:00:00,22:00:00,3600,0
2,05:00:00,22:00:00,600,0
20,05:00:00,22:00:00,3600,0
200,05:00:00,22:00:00,3600,0
201,05:00:00,22:00:00,3600,0
202,05:00:00,22:00:00,3600,0
203,05:00:00,22:00:00,3600,0
204,05:00:00,22:00:00,3600,0
205,05:00:00,22:00:00,3600,0
206,05:00:00,22:00:00,3600,0
207,05:00:00,22:00:00,3600,0
208,05:00:00,22:00:00,3600,0
209,05:00:00,22:00:00,3600,0
21,05:00:00,22:00:00,3600,0
210,05:00:00,22:00:00,300,0
211,05:00:00,22:00:00,300,0
212,05:00:00,22:00:00,3600,0
213,05:00:00,22:00:00,3600,0
214,05:00:00,22:00:00,3600,0
215,05:00:00,22:00:00,3600,0
216,05:00:00,22:00:00,300,0
217,05:00:00,22:00:00,300,0
218,05:00:00,22:00:00,3600,0
219,05:00:00,22:00:00,3600,0
22,05:00:00,07:00:00,1800,0
22,07:00:00,09:00:00,420,0
22,09:00:00,17:00:00,1800,0
220,05:00:00,22:00:00,3600,0
221,05:00:00,22:00:00,3600,0
222,05:00:00,22:00:00,3600,0
223,05:00:00,22:00:00,3600,0
224,05:00:00,22:00:00,1200,0
225,05:00:00,22:00:00,1800,0
226,05:00:00,22:00:00,3600,0
227,05:00:00,22:00:00,3600,0
228,05:00:00,22:00:00,300,0
229,05:00:00,22:00:00,300,0
23,05:00:00,07:00:00,1800,0
23,07:00:00,09:00:00,420,0
23,09:00:00,17:00:00,1800,0
230,05:00:00,22:00:00,300,0
231,05:00:00,22:00:00,300,0
232,05:00:00,22:00:00,600,0
233,05:00:00,22:00:00,600,0
234,05:00:00,22:00:00,900,0
235,05:00:00,22:00:00,900,0
236,05:00:00,22:00:00,600,0
237,05:00:00,22:00:00,600,0
238,05:00:00,22:00:00,1200,0
239,05:00:00,22:00:00,1200,0
24,05:00:00,07:00:00,3600,0
24,07:00:00,09:00:00,540,0
24,09:00:00,17:00:00,1800,0
240,05:00:00,22:00:00,600,0
241,05:00:00,22:00:00,600,0
242,05:00:00,22:00:00,600,0
243,05:00:00,22:00:00,600,0
244,05:00:00,22:00:00,600,0
245,05:00:00,22:00:00,600,0
246,05:00:00,22:00:00,600,0
247,05:00:00,22:00:00,600,0
248,05:00:00,22:00:00,900,0
249,05:00:00,22:00:00,900,0
25,05:00:00,07:00:00,3600,0
25,07:00:00,09:00:00,540,0
25,09:00:00,17:00:00,1800,0
250,05:00:00,22:00:00,1200,0
251,05:00:00,22:00:00,1200,0
252,05:00:00,22:00:00,900,0
253,05:00:00,22:00:00,900,0
254,05:00:00,22:00:00,600,0
255,05:00:00,22:00:00,600,0
256,05:00:00,22:00:00,900,0
257,05:00:00,22:00:00,900,0
258,05:00:00,22:00:00,600,0
259,05:00:00,22:00:00,600,0
26,05:00:00,22:00:00,3600,0
260,05:00:00,22:00:00,900,0
261,05:00:00,22:00:00,900,0
262,05:00:00,22:00:00,600,0
263,05:00:00,22:00:00,600,0
264,05:00:00,22:00:00,900,0
265,05:00:00,22:00:00,900,0
266,05:00:00,22:00:00,600,0
267,05:00:00,22:00:00,600,0
268,05:00:00,22:00:00,600,0
269,05:00:00,22:00:00,600,0
27,05:00:00,22:00:00,3600,0
