agency_id,route_id,route_type,route_short_name,route_long_name,route_desc,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
Gbaka d'Adjamé,10179006,3,,gbaka : Adjamé Liberté ↔ Treichville Gare de Bassam,,,1779C2,FFFFFF,,,
Gbaka d'Abobo,10179435,3,,gbaka : Adjamé ↔ Abobo Gare Mairie,,,1779C2,FFFFFF,,,
Gbaka d'Abobo,10184139,3,,gbaka : Adjamé Liberté ↔ Abobo Gare Mairie,,,1779C2,FFFFFF,,,
Gbaka d'Abobo,10184730,3,,gbaka : Abobo Gare Mairie ↔Akeïkoi Village,,,1779C2,FFFFFF,,,
Gbaka d'Abobo,10184964,3,,gbaka : Abobo Gare Mairie ↔ Kennedy Marché,,,1779C2,FFFFFF,,,
Gbaka d'Abobo,10185142,3,,gbaka : Abobo Gare Mairie ↔ Kennedy Mosquée Ado,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10185169,3,,gbaka : Adjamé gare en haut ↔ Cocody Riviera M'badon,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10185403,3,,gbaka : Adjamé gare en haut ↔ Cocody Attoban Camp,,,1779C2,FFFFFF,,,
Gbaka d'Abobo,10185406,3,,gbaka : Abobo Gare Mairie ↔ Abobo PK 18,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10402404,3,,gbaka : Adjamé Liberté ↔ Cocody Riviera 2,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10402518,3,,gbaka : Adjamé Gare en Haut ↔ Cocody Anono,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10402749,3,,gbaka : Adjamé gare en haut ↔ Bingerville,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10403055,3,,gbaka : Adjamé gare en haut ↔ Cocody Riviera M'pouto,,,1779C2,FFFFFF,,,
Gbaka de Yopougon,10403061,3,,gbaka : Adjamé Texaco ↔ Yopougon Kowët,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10404238,3,,gbaka : Adjamé gare en haut ↔ Cocody Akouédo,,,1779C2,FFFFFF,,,
Gbaka de Treichville,10406129,3,,gbaka : Treichville Gare de Bassam ↔ Port-Bouët Gonzagueville,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10406387,3,,gbaka : Yopougon Palais ↔ Adjamé Renault,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10406547,3,,gbaka : Yopougon Niangon Terminus 27 ↔ Adjamé Liberté,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10406621,3,,gbaka : Adjamé Liberté ↔ Koumassi,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10406865,3,,gbaka : Adjamé Liberté ↔ Yopougon Palais,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10407729,3,,gbaka : Adjamé Texaco ↔ Yopougon Camp Militaire,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10407850,3,,gbaka : Yopougon Carrefour Académie ↔ Adjamé Texaco,,,1779C2,FFFFFF,,,
Woro-woro de Cocody,10408669,3,,woro woro : Riviera 2 ↔ Angré Terminus 81-82,,,1779C2,FFFFFF,,,
Woro-woro de Cocody,10408694,3,,woro woro : Riviera 2 ↔ Angré 22ème,,,1779C2,FFFFFF,,,
Woro-woro de Cocody,10408727,3,,woro woro : Riviera 2 ↔ Attoban Camp,,,1779C2,FFFFFF,,,
Woro-woro de Treichville,10408771,3,,woro woro : Treichville Gare de Bassam ↔ Bolloré,,,1779C2,FFFFFF,,,
Woro-woro de Yopougon,10408836,3,,woro woro : Gabriel gare ↔ Micao,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10409494,3,,gbaka : Adjamé Renault ↔ Abobo Gare Mairie,,,1779C2,FFFFFF,,,
Gbaka d'Adjamé,10409714,3,,gbaka : Adjamé Liberté ↔ Carrefour Lokoa,,,1779C2,FFFFFF,,,
