trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
0,node/10591673049,7,07:49:56,07:49:56,,,,,,0
0,node/10591673050,6,07:45:08,07:45:08,,,,,,0
0,node/10591673051,4,07:38:38,07:38:38,,,,,,0
0,node/10855579565,3,07:37:14,07:37:14,,,,,,0
0,node/10863748340,11,08:00:00,08:00:00,,,,,,0
0,node/10863748341,10,07:56:10,07:56:10,,,,,,0
0,node/6899034707,8,07:51:23,07:51:23,,,,,,0
0,node/6899034708,5,07:42:18,07:42:18,,,,,,0
0,node/6899034709,2,07:36:02,07:36:02,,,,,,0
0,node/9271804739,9,07:55:17,07:55:17,,,,,,0
0,node/9271804742,1,06:00:00,06:00:00,,,,,,0
1,node/10556365498,3,06:13:55,06:13:55,,,,,,0
1,node/10556365499,2,06:09:27,06:09:27,,,,,,0
1,node/10855579564,5,06:21:40,06:21:40,,,,,,0
1,node/10856637709,9,08:00:00,08:00:00,,,,,,0
1,node/10863014856,7,06:54:30,06:54:30,,,,,,0
1,node/10863748338,4,06:17:02,06:17:02,,,,,,0
1,node/10863748339,1,06:00:00,06:00:00,,,,,,0
1,node/6899053347,8,07:00:12,07:00:12,,,,,,0
1,node/6899053348,6,06:23:21,06:23:21,,,,,,0
10,node/6903268820,1,06:00:00,06:00:00,,,,,,0
10,node/6903397404,7,06:18:36,06:18:36,,,,,,0
10,node/6903397405,6,06:17:18,06:17:18,,,,,,0
10,node/6903397406,5,06:16:21,06:16:21,,,,,,0
10,node/6903397407,4,06:14:04,06:14:04,,,,,,0
10,node/6903504058,2,06:10:39,06:10:39,,,,,,0
10,node/6903504060,3,06:12:52,06:12:52,,,,,,0
10,node/9340348210,8,06:20:00,06:20:00,,,,,,0
100,node/10300373052,6,06:40:15,06:40:15,,,,,,0
100,node/10300817837,5,06:34:43,06:34:43,,,,,,0
100,node/10314834898,10,07:31:54,07:31:54,,,,,,0
100,node/10314834902,8,07:22:28,07:22:28,,,,,,0
100,node/10537894026,11,07:37:52,07:37:52,,,,,,0
100,node/10537894027,9,07:27:52,07:27:52,,,,,,0
100,node/10537894031,7,06:51:52,06:51:52,,,,,,0
100,node/6902868224,2,06:12:21,06:12:21,,,,,,0
100,node/6902868225,3,06:18:51,06:18:51,,,,,,0
100,node/6902868226,4,06:26:00,06:26:00,,,,,,0
100,node/7082269148,1,06:00:00,06:00:00,,,,,,0
100,node/9289796144,13,08:00:00,08:00:00,,,,,,0
100,node/9289796145,12,07:47:02,07:47:02,,,,,,0
101,node/10314834897,2,06:26:31,06:26:31,,,,,,0
101,node/10314834899,3,06:30:18,06:30:18,,,,,,0
101,node/10314834900,4,06:36:30,06:36:30,,,,,,0
101,node/10537894022,1,06:00:00,06:00:00,,,,,,0
101,node/10537894028,5,06:44:27,06:44:27,,,,,,0
101,node/6902638988,11,07:53:40,07:53:40,,,,,,0
101,node/6902638989,10,07:46:14,07:46:14,,,,,,0
101,node/6902638990,8,07:32:32,07:32:32,,,,,,0
101,node/6902638991,7,07:24:04,07:24:04,,,,,,0
101,node/6902638992,6,07:18:31,07:18:31,,,,,,0
101,node/6902638996,9,07:38:45,07:38:45,,,,,,0
101,node/7082269144,12,08:00:00,08:00:00,,,,,,0
102,node/7077860798,6,06:33:07,06:33:07,,,,,,0
102,node/7078209300,7,06:35:00,06:35:00,,,,,,0
102,node/7078209301,5,06:25:52,06:25:52,,,,,,0
102,node/7078209302,4,06:19:23,06:19:23,,,,,,0
102,node/7078209303,3,06:11:00,06:11:00,,,,,,0
102,node/7078209304,2,06:09:23,06:09:23,,,,,,0
102,node/7078209306,1,06:00:00,06:00:00,,,,,,0
103,node/7077860791,5,06:30:00,06:30:00,,,,,,0
103,node/7077860792,4,06:29:24,06:29:24,,,,,,0
103,node/7078209296,3,06:29:00,06:29:00,,,,,,0
103,node/7078209297,2,06:26:02,06:26:02,,,,,,0
103,node/7078209298,1,06:00:00,06:00:00,,,,,,0
104,node/7054787071,10,06:59:11,06:59:11,,,,,,0
104,node/7054787072,9,06:58:03,06:58:03,,,,,,0
104,node/7054787074,7,06:32:10,06:32:10,,,,,,0
104,node/7054917922,6,06:29:17,06:29:17,,,,,,0
104,node/7056730283,1,06:00:00,06:00:00,,,,,,0
104,node/7071584256,8,06:33:20,06:33:20,,,,,,0
104,node/7076835397,5,06:28:19,06:28:19,,,,,,0
104,node/7078209300,11,07:00:00,07:00:00,,,,,,0
104,node/7078451679,4,06:22:20,06:22:20,,,,,,0
104,node/7078451680,3,06:12:44,06:12:44,,,,,,0
104,node/7078451681,2,06:05:13,06:05:13,,,,,,0
105,node/7055696176,10,07:23:01,07:23:01,,,,,,0
105,node/7055696178,9,07:17:57,07:17:57,,,,,,0
105,node/7056730266,12,07:30:00,07:30:00,,,,,,0
105,node/7056730268,11,07:24:58,07:24:58,,,,,,0
105,node/7071584255,1,06:00:00,06:00:00,,,,,,0
105,node/7078451669,8,07:08:40,07:08:40,,,,,,0
105,node/7078451670,7,07:05:15,07:05:15,,,,,,0
105,node/7078451671,6,07:01:19,07:01:19,,,,,,0
105,node/7078451672,5,06:59:40,06:59:40,,,,,,0
105,node/7078451673,4,06:49:18,06:49:18,,,,,,0
105,node/7078451674,3,06:34:55,06:34:55,,,,,,0
105,node/7078451675,2,06:33:22,06:33:22,,,,,,0
106,node/10589324385,34,07:58:44,07:58:44,,,,,,0
106,node/10589324386,28,07:50:00,07:50:00,,,,,,0
106,node/10589324387,27,07:49:23,07:49:23,,,,,,0
106,node/10589324388,24,07:44:03,07:44:03,,,,,,0
106,node/10593702271,12,07:23:02,07:23:02,,,,,,0
106,node/10602193443,20,07:38:51,07:38:51,,,,,,0
106,node/10836754149,26,07:48:22,07:48:22,,,,,,0
106,node/10856127546,32,07:56:53,07:56:53,,,,,,0
106,node/10856127547,30,07:53:55,07:53:55,,,,,,0
106,node/10856201514,3,06:09:56,06:09:56,,,,,,0
106,node/7052366510,35,08:00:00,08:00:00,,,,,,0
106,node/7052366513,25,07:46:12,07:46:12,,,,,,0
106,node/7052366514,22,07:41:22,07:41:22,,,,,,0
106,node/7052366515,19,07:37:29,07:37:29,,,,,,0
106,node/7052366516,18,07:35:41,07:35:41,,,,,,0
106,node/7052366517,16,07:33:14,07:33:14,,,,,,0
106,node/7052366518,15,07:31:12,07:31:12,,,,,,0
106,node/7052366519,14,07:29:54,07:29:54,,,,,,0
106,node/7052366521,13,07:24:50,07:24:50,,,,,,0
106,node/7052366522,11,07:22:00,07:22:00,,,,,,0
106,node/7052366523,9,07:15:34,07:15:34,,,,,,0
106,node/7054917918,5,07:04:10,07:04:10,,,,,,0
106,node/7076942292,1,06:00:00,06:00:00,,,,,,0
106,node/7078451674,7,07:09:12,07:09:12,,,,,,0
106,node/7078451675,6,07:06:49,07:06:49,,,,,,0
106,node/7082416540,31,07:56:24,07:56:24,,,,,,0
