route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
10179006,Mo-Su,10178669,0,Treichville Gare de Bassam,,0,,,
10179006,Mo-Su,10178996,1,Adjamé Liberté,,1,,,
10185142,Mo-Su,10185123,10,Mosquée Ado,,0,,,
10461146,Mo-Su,10474251,100,Angré Petro Ivoire,,0,,,
10461146,Mo-Su,10474250,101,Abobo Gare,,1,,,
10461307,Mo-Su,10461306,102,Adjamé Nouvelle Gare,,0,,,
10461307,Mo-Su,10461305,103,Carrefour JAUG,,1,,,
10461959,Mo-Su,10461958,104,Adjame mosquée,,0,,,
10461959,Mo-Su,10461957,105,Yopougon Lokoa,,1,,,
10474495,Mo-Su,10474494,106,Yopougon koweit,,0,,,
10474495,Mo-Su,10474493,107,Gare Kobenan Agban,,1,,,
10474747,Mo-Su,10474746,108,Yopougon Lubafrique,,0,,,
10474747,Mo-Su,10474745,109,Gare kobenan Agban,,1,,,
10185142,Mo-Su,10185122,11,Gare Abobo Kennedy,,1,,,
10476005,Mo-Su,10476004,110,Akouedo Attié,,0,,,
10476005,Mo-Su,10476003,111,Adjamé gare en haut,,1,,,
10476178,Mo-Su,10476177,112,Bingerville,,0,,,
10476178,Mo-Su,10476176,113,Gare Kobenan Agban,,1,,,
10476298,Mo-Su,10476297,114,Yopougon Boissy,,0,,,
10476298,Mo-Su,10476296,115,Adjame Agban,,1,,,
10480217,Mo-Su,10480216,116,Yopougon Camp Militaire,,0,,,
10480217,Mo-Su,10480215,117,Adjamé Agban,,1,,,
10480360,Mo-Su,10480358,118,Yopougon Niangon Terminus 27,,0,,,
10480360,Mo-Su,10480359,119,Gare Kobenan Agban,,1,,,
10185169,Mo-Su,10184954,12,Cocody Riviera M'badon,,0,,,
10480446,Mo-Su,10480445,120,Yopougon Carrefour Académie,,0,,,
10480446,Mo-Su,10480444,121,Gare Kobenan Agban,,1,,,
10480461,Mo-Su,10480459,122,Yopougon Carrefour Académie,,0,,,
10480461,Mo-Su,10480460,123,Adjamé mosquée,,1,,,
10480573,Mo-Su,10480572,124,Port-Bouët Vridi,,0,,,
10480573,Mo-Su,10480571,125,Adjamé Agban,,1,,,
10521453,Mo-Su,10521452,126,Bingerville,,0,,,
10521453,Mo-Su,10521451,127,Adjame Agban,,1,,,
10628612,Mo-Su,10628610,128,Saint Jean,,0,,,
10628612,Mo-Su,10628611,129,Riviera 2,,1,,,
10185169,Mo-Su,10185168,13,Adjamé gare en haut,,1,,,
10628718,Mo-Su,10628717,130,Angré Château,,0,,,
10628718,Mo-Su,10628716,131,Saint Jean,,1,,,
10628857,Mo-Su,10628855,132,Saint Jean,,0,,,
10628857,Mo-Su,10628856,133,Angré Pétro Ivoire,,1,,,
10647547,Mo-Su,10647546,134,Vridi Cité,,0,,,
10647547,Mo-Su,10647545,135,Marché de Port-Bouët,,1,,,
10647596,Mo-Su,10647595,136,Vridi Canal,,0,,,
10647596,Mo-Su,10647594,137,Marché de Port-Bouët,,1,,,
10647737,Mo-Su,10647736,138,Marché de Port-Bouët,,0,,,
10647737,Mo-Su,10647735,139,Anani,,1,,,
10185403,Mo-Su,10186002,14,Adjamé gare en haut,,0,,,
10651885,Mo-Su,10651884,140,BC,,0,,,
10651885,Mo-Su,10651883,141,Abobo Gare,,1,,,
10651976,Mo-Su,10651975,142,Ndotre,,0,,,
10651976,Mo-Su,10651974,143,Abobo Gendarmerie,,1,,,
10653426,Mo-Su,10653425,144,Biabou,,0,,,
10653426,Mo-Su,10653424,145,Abobo Gare,,1,,,
10653562,Mo-Su,10653561,146,Houphouet-Boigny,,0,,,
10653562,Mo-Su,10653560,147,Abobo Gare,,1,,,
10653808,Mo-Su,10653807,148,Angré Petro Ivoire,,0,,,
